"emp_name","emp_type","emp_job_title","emp_salary","emp_dob","emp_hours","emp_password","emp_phone","emp_email","emp_payment","emp_id","emp_token"
"Pascale Ninnotti","delivery","Delivery Assistant",35000,"1985-09-15",769.4,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","473918980615","pascale.ninnotti@toolshed.com","{""card"":""561089411249800487"",""name"":""Leena Supple"",""cvc"":""785"",""exp"":""10/27""}","ba432b1dab8abacd95dbddfb422fa5b5b82d90a0d3af61acbd484f047bc7829b",""
"Matty Avramovsky","clerk","Customer Service",35000,"1973-06-11",1753.5,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","32171187411","matty.avramovsky@toolshed.com","{""card"":""3573222588756453"",""name"":""Terra Lassen"",""cvc"":""042"",""exp"":""11/27""}","0793533441e40cf001e78f99f0baf27913ffe15e8d2c3a91d233c273cd5fb536",""
"Oliver Veryard","delivery","Delivery Primary",45000,"1967-01-20",206.8,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","42326216896","oliver.veryard@toolshed.com","{""card"":""3536698823754104"",""name"":""Elsa McKomb"",""cvc"":""831"",""exp"":""01/28""}","852296f55ef02ebe2df72eef73ecbf9933b8bcba324f6ab85a7bc6cde4a70cc8",""
"Neille Iacomini","clerk","Customer Service",35000,"1999-09-13",1933.7,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","1418415890986","neille.iacomini@toolshed.com","{""card"":""5267768923138860"",""name"":""Joan Bootland"",""cvc"":""879"",""exp"":""05/29""}","25d53edaa58ab0f8a2a5bf3b4f0c9033b8e89a06d8ec319cd5a919072ef17447",""
"Tally Poultney","clerk","General Clerk",75000,"1993-06-28",1679.5,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","59593801601","tally.poultney@toolshed.com","{""card"":""201686764157189"",""name"":""Glendon Godmer"",""cvc"":""221"",""exp"":""02/23""}","4554e19f00417b3f31f24a79fcd2afd08c35184709b2cfdb9bfb170e468e4f24",""
"Jeri Duprey","delivery","Delivery Primary",45000,"1999-04-18",644.8,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","67271897597","jeri.duprey@toolshed.com","{""card"":""5610986660489999"",""name"":""Marlowe Petegre"",""cvc"":""621"",""exp"":""01/24""}","16969121937230e343d61a0fbfcc29ffb5e0b962c57d8652be33a1b66418fede",""
"Daveen Kew","clerk","Customer Service",35000,"2000-01-08",957.7,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","65422187457","daveen.kew@toolshed.com","{""card"":""374283383906245"",""name"":""Basia Hutson"",""cvc"":""611"",""exp"":""01/23""}","da5472f209ce86a617d169ec2177070dbed873b045e5db02a4c12a77d9f83ae6",""
"Norma Laughlin","delivery","Delivery Primary",45000,"1992-11-15",222.3,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","446578774488","norma.laughlin@toolshed.com","{""card"":""3578793569869106"",""name"":""Krishnah Patching"",""cvc"":""775"",""exp"":""03/26""}","28bf8744cae48bfdb612ad70777f90a723ee46e9e0c591ef451886397e33cf5e",""
"Spense Balam","delivery","Delivery Assistant",35000,"1981-09-12",914.8,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","9768207482458","spense.balam@toolshed.com","{""card"":""3562455534327481"",""name"":""Aviva Pavolini"",""cvc"":""393"",""exp"":""04/28""}","e704fd9f67b8e0c7ecaa9ed57715b09c36d728dc64290247ae8db97c7affff2f",""
"Bibbie De Bernardi","clerk","Customer Service",35000,"1999-08-02",1922.8,"$2b$10$gYrloahAT6PbIZ9/2ZOTGeEohT4P7w4sHTIKlx2WmpABDeuEzW1jy","078592758031","bibbie de.bernardi@toolshed.com","{""card"":""374288424768454"",""name"":""Starlene Baumert"",""cvc"":""335"",""exp"":""01/27""}","78553fe226fec6f4f5c35c2a36084a21f5665fcc79fac26b9a6d5ac24ac770c7",""
